# ScienceGPT Logs — level=ERROR lines=200 of 460 (72591 total)
# /home/azureuser/SummarizationTool/backend/output/logs/app.log

2026-03-05 17:52:49 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:52:51 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:52:51 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:52:52 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:52:53 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:52:54 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:52:55 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:52:56 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:52:56 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:52:57 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:52:57 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:52:58 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:52:59 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:52:59 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:53:00 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:53:07 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:53:08 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:53:08 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:53:09 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:53:09 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:53:11 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:53:12 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:53:13 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:53:13 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:53:14 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:53:14 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:53:15 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:53:25 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:53:25 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:54:02 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:54:03 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:54:03 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:54:06 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:54:07 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:54:08 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:54:09 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:54:10 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:54:10 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:54:39 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:54:41 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:54:42 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:54:47 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:54:49 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:54:51 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:54:53 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:54:54 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:55:15 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:55:16 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:55:18 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:55:19 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:55:20 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:55:21 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:55:22 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:55:23 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:55:36 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:55:36 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:55:38 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:56:00 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:56:01 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:56:01 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:56:03 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:56:05 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:56:06 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:56:07 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:56:08 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:56:11 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:56:11 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:56:11 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:56:12 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:56:13 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:56:13 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:56:14 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:56:15 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:56:16 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:56:16 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:56:17 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:56:18 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:57:07 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:57:07 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:57:11 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:57:12 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:57:14 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:57:14 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:57:15 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:57:16 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:57:17 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:57:18 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:57:19 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:57:20 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:01 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:02 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:03 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:05 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:06 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:07 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:08 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:09 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:09 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:10 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:11 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:11 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:12 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:13 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:14 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:16 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:16 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:17 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:18 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:18 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:18 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:43 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:44 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:46 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:47 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:48 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:50 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:51 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:52 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:52 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:58:53 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:59:05 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
